"key","message","comment","context"
"Account","账户",,
"Account Info","账户信息",,
"Account Name","账户名称",,
"AccountEntry Info","账目记录信息",,
"AccountEntryLine Info","账目条目信息",,
"Accounting","账目",,
"Accounting Balance","账目余额",,
"Accounting Balance For Each Account","各账户账目余额",,
"Accounting Entry","账目记录",,
"AccountingEntries","账目记录",,
"AccountingEntry","账目记录",,
"AccountingEntry Lines","账目条目",,
"Accounts","账户",,
"Chinese",,,
"Code","代码",,
"Confirmation date","确认时间",,
"Credit","贷出",,
"Customer Account","客户账户",,
"Dashboard","信息汇总",,
"Debit","记入",,
"Forecast Billing Date","预计账单日期",,
"Full Name","全名",,
"Generate accounting entry","生成账目条目",,
"Has AccountingEntry Been generated","是否已生成项目条目",,
"Invoice Lines","发票明细",,
"Invoice's Date","发票日期",,
"Invoices","发票",,
"Invoices to be validated","需要验证的发票",,
"Monitoring Dashboard","信息监控台",,
"Monthly Product Sales Distribution","每月产品销量分布",,
"Name","名",,
"Order Lines","订单明细",,
"Order's date","订单日期",,
"Orders to be invoiced","待开发票的订单",,
"Product Categories","产品类别",,
"Product Family","产品族",,
"Product Sales Distribution By Month","月产品销量分布",,
"Product family","产品族",,
"Products","产品",,
"Quantity","数量",,
"Query Date","查询日期",,
"Sales Orders","销售订单",,
"Sales Quantity Per Product Family","每产品族销售数量",,
"Sales orders","销售订单",,
