"key","message","comment","context"
"Address","地址",,
"Address Information","地址信息",,
"Address Overview","地址总览",,
"Addresses","地址",,
"City","城市",,
"Code","代码",,
"Contact","联系人",,
"Contact Overview","联系人总览",,
"Contacts","联系人",,
"Countries","国家",,
"Country","国家",,
"Country Overview","国家总览",,
"Date of birth","出生日期",,
"First Name","名",,
"Full name","全名",,
"Last Name","姓",,
"Name","名称",,
"Phone","电话",,
"Photo","照片",,
"Street","街道",,
"Title","称谓",,
"Title Overview","称谓总览",,
"Titles","称谓",,
"Zip","邮编",,
"email","电子邮箱",,
