"key","message","comment","context"
"Billing Date","账单日期",,
"Compute","核算",,
"Customer","客户",,
"Date of Invoice","发票日期",,
"Description","描述",,
"Details","详细信息",,
"Draft","草稿",,
"Forecasted Billing Date","预测账单日期",,
"Generate Invoice For Late Orders","为延迟订单生成发票",,
"Invoice","发票",,
"Invoice Information","发票信息",,
"Invoice Line Overview","发票明细概览",,
"Invoice Lines","发票明细",,
"Invoices","发票",,
"Order Lines","订单明细",,
"Order Tools","订单工具",,
"Orders","订单",,
"Product","产品",,
"Qty","数量",,
"Quantity","数量",,
"Sales orders","销售订单",,
"State","状态",,
"Tax Rate","税率",,
"Total","总计",,
"Total without tax","税前总计",,
"Unit Price","单价",,
"Validate","验证",,
"Validated","已验证",,
