"key","message","comment","context"
"Code","代码",,
"Compute","核算",,
"Confirmation date","确认日期",,
"Content","相关信息",,
"Customer","客户",,
"Description","描述",,
"Details Lines","详细条目",,
"Draft","草稿",,
"Name","名称",,
"Order","订单",,
"Order Information","订单信息",,
"Order Lines","订单条目",,
"Order Lines Overview","订单条目总览",,
"Order Status","订单状态",,
"Order lines","订单条目",,
"Order's Date","订单日期",,
"Order's date","订单日期",,
"Product","产品",,
"Product Overview","产品总览",,
"Products","产品",,
"Quantity","数量",,
"Sales","销售",,
"Sales Orders","销售订单",,
"Sales orders","销售订单",,
"State","状态",,
"Tax Rate","税率",,
"Total","总计",,
"Total without tax","税前总计",,
"Unit Price","单价",,
"Validate","验证",,
"Validated","已验证",,
